Nome da Música,link,album,letra
Telefone,/skank/telefone.html,Skank 91,"São três horas da manhã, você me liga Pra falar coisas que só a gente entende São três horas da manhã, você me chama Com seu papo poesia me transcende  Oh, meu amor Isso é amor Oh, meu amor Isso é amor É amor... é amor  Sua voz está tão longe ao telefone Fale alto mesmo, grite não se importe Pra quem ama a distância não é lance Nossa onda de amor não há quem corte  Oh, meu amor Isso é amor Oh, meu amor Isso é amor É amor... é amor  Pode ser de São Paulo a Nova York Ou tão lindo flutuando em nosso Rio Ou tão longe mambeando o mar Caribe A nossa onda de amor não há quem corte  Oh, meu amor Isso é amor Oh, meu amor Isso é amor É amor... é amor  Aê!  Você me liga me altera, me acende Nossa voz no telefone está tão longe Falo alto delirando não se importe Há um pique ante de eu dizer teu nome  Desligaram sem aviso é um corte Minha voz está perdida nesse fone Fica vibrando tão sozinha não se importe Eu ainda estou pensando no seu nome Essa onda de amor não há quem corte  Pensando no seu nome"
Trancoso,/skank/trancoso.html,Carrossel,"Um colar de contas daqui vou te levar Um colar de conchas do mar pra te cobrir Pra você ver da varanda Vou fotografar as plantas que ainda vão se abrir Um anel de coco daqui vou te levar E no búzio um pouco do mar pra se ouvir Melodias de sereia e nos pés da areia O bater das ondas que não pára Não vai parar para acompanhar O silêncio sem fim que eu guardo agora Em minha boca pra te dar Sobre o mesmo rastro dos pés que o mar levou Reconheço um pouco de mim que aqui ficou E da beira da distância, numa mesma dança Chuva, sol e chuva e sol não param Não vão parar para alimentar O horizonte sem fim que carrego agora sobre a pele Ao caminhar para acompanhar um outro de mim No meu corpo, outra vez em você"
Três Lados,/skank/tres-lados.html,Rock In Rio ao vivo,"Escutei alguém abrir os portões Encontrei no coração multidões Meu desejo e meu destino brigaram como irmãos E a manhã semeará outros grãos  Você estava longe, então Por que voltou Com olhos de verão Que não vão entender?  E quanto a mim, te quero, sim Vem dizer que você não sabe E quanto a mim, não é o fim Nem há razão pra que um dia acabe  Cada um terá razões ou arpões Dediquei-me às suas contradições, fissões, confusões Meu desejo e seu bom senso, raivosos feito cães E a manhã nos proverá outros pães  Os deuses vendem quando dão Melhor saber Seus olhos de verão Que não vão nem lembrar  E quanto a mim, te quero, sim Vem dizer que você não sabe E quanto a mim, não é o fim Nem há razão pra que um dia acabe  Somos dois contra a parede e tudo tem três lados E a noite arremessará outros dados Os deuses vendem quando dão Melhor saber Seus olhos de verão Que não vão nem lembrar  E quanto a mim, te quero, sim Vem dizer que você não sabe E quanto a mim, não é o fim Nem há razão pra que um dia acabe"
Tudo Isso,/skank/tudo-isso.html,Velocia,"Rolê no parque ou polaroides, dança Tudo de bom que ainda sonho fazer Bolhas de sabão, flores em botão, então Lampejos de alvorada a saber  Beijar no escuro ou chitas e trança Bom é sobre como deveria ser Areia, pés no chão, luz, constelação e dança Você em minhas madrugadas vou querer  Ponteiros parados, fogos de artifício Faltou só coragem, pra falar  Que eu vi tudo isso olhando, em seus olhos pensando Nas palavras certas pra essa canção Se haveria espaço, um cantinho, um pedaço Que ainda possa ser meu, no seu coração"
Um Dia Qualquer,/skank/um-dia-qualquer.html,O Samba Poconé,"Na espuma das ondas As meninas se lançam As cadeiras redondas Onde as ondas se amansam  Todo dia é na praia todo minuto é pra um Todo dia é do tempo O tempo todo, tempo algum  Eu passei lá na vila Ele é de vila Isabel Meu nego meu jongo Hoje eu chego na barra do céu  Você me entenda Dança de Oxum é assim Se joga no mundo Cai nas ondas e volta pra mim  Hoje é final de século Hoje é um dia qualquer Você vai ao cinema Ou toma um foguete, ou toma um café  Hoje bobagem, drama hoje é um dia comum Você deita na cama Com os pés no século vinte e um  Então corre pra ver Então fica pra ver Então corre pra ver Beleza do mundo descer  Toda rua começa Onde acaba meu mal De conversa em conversa Eu já passei da capital  Era um filme domingo Penas do paraíso Eu só guardo o que me ensinou Que tocar é preciso"
Um Gesto Qualquer,/skank/um-gesto-qualquer.html,Estandarte,"Ele liga a TV e você não quer saber Futebol, sexo e ação capturam toda atenção  Da paixão ao tédio quantos dias caberão Ele tem que trabalhar, você tem que ver a situação  Do prazer ao vício é só uma leve distração Do amor à solidão quantas noites ainda correrão  Ele não notou e você espera ainda Nem sequer ouviu você dizer que não importa mais Que não se importa mais  Ele pede um café e mergulha em seu jornal Você sabe como é tudo isso parece tão normal  Da alegria a mágoa, uma velha tradição Do amor à submissão um percurso torto da ilusão  Ele não notou e você espera ainda Nem sequer ouviu você dizer que não importa mais Que não se importa mais"
Um Homem Solitário,/skank/um-homem-solitario.html,Carrossel,"No desterro do coração Vi um homem só, sob o sol Que andava a procura da sorte Na estrada que escolheu No deserto do seu olhar Quantos sonhos vão se esconder Mas agora ele só se entendia Com as feras nos covis E quando a noite vem Trazendo a solidão Peço a senha pra seguir Tudo que queria então Era caminhar sob o sol Esquecer o amargo do dia E a sorte que sonhou ter Andar nas constelações esquecidas Pensar nos perdidos amores Tão errantes quanto ele Sem sinal de redenção E a quando a noite vem Trazendo a solidão É sua senha pra seguir"
Um Mais Um,/skank/um-mais-um.html,Multishow Ao Vivo no Mineirão,Éramos nós (2x) Um mais um Éramos mais Que só dois  Éramos um Feito de dois Mais que nós dois Nunca então sós  [Refrão:] Eu era eu Quando era nela Ela em mim Como ela era  Éramos nós(2x) Um mais um Éramos mais Que só dois  Éramos um Feito de dois Mais que nós Nunca então sós  [Refrão:] Eu era eu Quando era nela Ela em mim Como ela era  Soma sem subtração Múltiplos sem divisão Dois que se amavam então Éramos multidão  E na matemática torta Da vida aqui sem ela Dois menos um é zero Eu não sou nada do que eu era  Éramos nós (2x) Um mais um Éramos mais Que só dois Mais que só dois(2x)  Éramos nós (2x) Um mais um Éramos mais Que só dois  Éramos um Feito de dois Mais que nós dois Nunca então sós  [Refrão:] Eu era eu Quando era nela Ela em mim Como ela era  Éramos nós(2x) Um mais um Éramos mais Que só dois  Éramos um Feito de dois Mais que nós Nunca então sós  [Refrão:] Eu era eu Quando era nela Ela em mim Como ela era  Soma sem subtração Múltiplos sem divisão Dois que se amavam então Éramos multidão  E na matemática torta Da vida aqui sem ela Dois menos um é zero Eu não sou nada do que eu era
Um Segundo,/skank/um-segundo.html,Cosmotron,"Não pense mais Que você não é capaz De cruzar estas esquinas  O mundo oscila Realmente, eu sei Na beirada dos teus olhos  Pode acreditar Diabo é quando não há mais poesia O chão não está mais fixo do que seu olhar Hoje pra ninguém  Mas veja só Não torne este peso maior Sem razão Você tem todo tempo E mais um segundo pra se convencer  Você, rapaz Na verdade é um a mais Percorrendo o mesmo círculo  O mundo oscila Realmente, eu sei Feito fogo nos teus olhos  Pode acreditar Diabo é quando a lágrima não cai O chão não está mais fixo em nenhum lugar Hoje pra ninguém"
Uma Canção é Pra Isso,/skank/uma-cancao-e-pra-isso.html,Rock In Rio ao vivo,Uma canção é pra acender o Sol No coração da pessoa Pra fazer brilhar como um farol O som depois que ressoa  Uma canção é pra trazer calor Deixar a vida mais quente Pra puxar o fio da paixão No labirinto da gente  Pra consertar Pra defender a cidadela Pra celebrar Pra reunir bairro e favela  Uma canção me veio sem querer Naquela hora difícil Joguei-a logo nesse iê iê iê Por profissão ou por vício  Pra clarear a escuridão Que o mundo encerra Pra balançar Pra reunir o céu e a terra  Uma canção é pra fazer o Sol Nascer de novo Pra cantar o que nos encantou Na companhia do povo  Pra consertar Pra defender a cidadela Pra celebrar Pra reunir bairro e favela  Uma canção é pra acender o Sol No coração da pessoa Pra fazer brilhar como um farol O som depois que ressoa  Pra clarear a escuridão Que o mundo encerra Pra balançar Pra reunir o céu e a terra
Vamos Fugir,/skank/vamos-fugir.html,Rock In Rio ao vivo,"Vamos fugir Deste lugar, baby Vamos fugir Tô cansado de esperar Que você me carregue.  Vamos fugir Pro outro lugar, baby Vamos fugir Pra onde quer que você vá Que você me carregue  [Refrão] Pois diga que irá Irá já, Irajá Pra onde eu só veja você, Você veja-me só Marajó, Marajó Qualquer outro lugar comum, outro lugar qualquer Guaporé, Guaporé. Qualquer outro lugar ao sol, outro lugar ao sul. Céu azul, céu azul. Onde haja só meu corpo nu Junto ao seu corpo nu  Vamos fugir Pra outro lugar, baby. Vamos fugir Pra onde haja um tobogã, Onde a gente escorregue  Vamos fugir Deste lugar, baby. Vamos fugir Tô cansado de esperar Que você me carregue.  Pois diga que irá Irajá, Irajá Pra onde eu só veja você, Você veja-me só Marajó, Marajó Qualquer outro lugar comum, outro lugar qualquer Guaporé, Guaporé. Qualquer outro lugar ao sol, outro lugar ao sul. Céu azul, céu azul. Onde haja só meu corpo nu Junto ao seu corpo nu  Vamos fugir Pra outro lugar, baby. Vamos fugir Pra onde haja um tobogã, Onde a gente escorregue Todo dia de manhã Flores que a gente regue Uma banda de maçã Outra banda de Reggae  Tô cansado de esperar Que você me carregue. Todo dia de manhã Flores que a gente Regue  Uma banda de maçã Outra banda de Reggae"
Vou Deixar,/skank/vou-deixar.html,Rock In Rio ao vivo,"Vou deixar A vida me levar Pra onde ela quiser Estou no meu lugar Você já sabe onde é é é Não conte o tempo por nós dois Pois, a qualquer hora posso estar de volta Depois que a noite terminar  Vou deixar A vida me levar Pra onde ela quiser Seguir a direção De uma estrela qualquer Não quero hora pra voltar, não Conheço bem a solidão, me solta E deixa a sorte me buscar  Eu já estou na sua estrada Sozinho não enxergo nada Mas vou ficar aqui Até que o dia amanheça a Vou me esquecer de mim E você, se puder, não me esqueça!  Vou deixar O coração bater Na madrugada sem fim Deixar o sol te ver Ajoelhada por mim, sim Não tenho hora pra voltar, não Eu agradeço tanto a sua escolta Mas deixa a noite terminar  Eu já estou na sua estrada Sozinho não enxergo nada Mas vou ficar aqui Até que o dia amanheça a Vou me esquecer de mim E você, se puder, não me esqueça!  Não, não, não quero hora pra voltar, não Conheço bem a solidão, me solta E deixa a sorte me buscar Não, não, não tenho hora pra voltar, não Eu agradeço tanto a sua escolta Mas deixa a noite terminar!"
Wavin Flag Coca-Cola Celebration Mix,/skank/wavin-flag-coca-cola-celebration-mix.html,,"Goooool Goooool Goooool Brasil  Give me freedom Give me fire Give me reason Take me higher  See the champions Take the field now Unify us Make us feel proud  In the streets our Hands are lifting As we lose our Inhibition  Celebration It surrounds us Every nation All around us  Staying forever young Singing songs underneath the sun  Let's rejoice in the beautiful game Then together at the end of the day We all say  When I get older I will be stronger They'll call me freedom  Just like a Waving Flag Now wave your flag Now wave your flag Now wave your flag  Goooool Goooool Brasil Goooool Goooool  Gol de placa de trivela no cantinho pra desempatar  É de letra de cabeça bicicleta pra comemorar  A bola vai rolar entre a camisa e o coração grito lá do fundo então é campeão, é campeão  E quando ela rola o mundo para só na torcida sem respirar  E quando ela passa pelo goleiro  O Brasil inteiro vai comemorar Comemorar  Now wave your flag Now wave your flag  Goooool Goooool Brasil"
Wavin' Flag Coca-Cola Celebration Mix (versão comercial),/skank/wavin-flag-coca-cola-celebration-mix-versao-comercial.html,,"Gol de placa; de trivela; no cantinho pra desempatar  É de letra de cabeça; bicicleta pra comemorar  Vai com tudo, vai com fé Ela é o mundo aos seus pés São dois tempos de coragem De malícia, de inspiração  A Bola vai rolar Entre a camisa e o coração Grito lá do fundo, então: É Campeão, é campeão  E quando ela passa pelo goleiro O Brasil inteiro vai comemorar  Gooooooollllll Ôôôôôôôôôôôôôôô  Ôôôôôôôôôôôôôôô"
You Really Got Me,/skank/you-really-got-me.html,,"Girl, you really got me goin You got me so I dont know what Im doin Yeah, you really got me now You got me so I cant sleep at night  Yeah, you really got me now You got me so I dont know what Im doin, now Oh yeah, you really got me now You got me so I cant sleep at night  You really got me You really got me You really got me  See, dont ever set me free I always wanna be by your side Girl, you really got me now You got me so I cant sleep at night  Yeah, you really got me now You got me so I dont know what Im doin, now Oh yeah, you really got me now You got me so I cant sleep at night  You really got me You really got me You really got me Oh no...  (solo)  See, dont ever set me free I always wanna be by your side Girl, you really got me now You got me so I cant sleep at night  Yeah, you really got me now You got me so I dont know what Im doin, now Oh yeah, you really got me now You got me so I cant sleep at night  You really got me You really got me You really got me"
Zé Trindade,/skank/ze-trindade.html,O Samba Poconé,"Quem é aquele cara, aquele tipo, aquele ali Cabelo preto, bigodinho e a barriga aqui Quem é aquele que belisca aquela tentação Papo furado, piscadinha e ela dando atenção  Ele é um crápula inocente e um amante otimista Atiça a fúria dos homens e some sem deixar pista Sua mulher vai à forra, ele se borra e se mija Também o Zé sempre tá com mão e pé na botija  Quem chegou, don't you know Mister Joe O nosso prezado Zé  Conversando com Cantinflas no canto do salão Zé curtia um charuto e prestava atenção Mas passou uma doutora diplomada em exagero Parecendo a pimenta certa pro seu tempero  Zé piscou, disse adiós Deu no pé Pro galho dessa mulher  Zé Trindade chegou Na cidade voltou Senhoras e senhores com vocês O grande Zé outra vez."
